source,text,ref,new
"דברים ו, ד–ט:","[""שְׁמַע יִשְׂרָאֵל ה' אֱלֹהֵינוּ ה' אֶחָד: וְאָהַבְתָּ אֵת ה' אֱלֹהֶיךָ בְּכָל לְבָבְךָ וּבְכָל נַפְשְׁךָ וּבְכָל מְאֹדֶךָ: וְהָיוּ הַדְּבָרִים הָאֵלֶּה אֲשֶׁר אָנֹכִי מְצַוְּךָ הַיּוֹם עַל לְבָבֶךָ: וְשִׁנַּנְתָּם לְבָנֶיךָ וְדִבַּרְתָּ בָּם בְּשִׁבְתְּךָ בְּבֵיתֶךָ וּבְלֶכְתְּךָ בַדֶּרֶךְ וּבְשָׁכְבְּךָ וּבְקוּמֶךָ: וּקְשַׁרְתָּם לְאוֹת עַל יָדֶךָ וְהָיוּ לְטֹטָפֹת בֵּין עֵינֶיךָ: וּכְתַבְתָּם עַל מְזֻזוֹת בֵּיתֶךָ וּבִשְׁעָרֶיךָ:""]",Deuteronomy 6:4,
"שם יא, יג–כא:","[""וְהָיָה אִם שָׁמֹעַ תִּשְׁמְעוּ אֶל מִצְוֹתַי אֲשֶׁר אָנֹכִי מְצַוֶּה אֶתְכֶם הַיּוֹם לְאַהֲבָה אֶת ה' אֱלֹהֵיכֶם וּלְעָבְדוֹ בְּכָל לְבַבְכֶם וּבְכָל נַפְשְׁכֶם: וְנָתַתִּי מְטַר אַרְצְכֶם בְּעִתּוֹ יוֹרֶה וּמַלְקוֹשׁ וְאָסַפְתָּ דְגָנֶךָ וְתִירֹשְׁךָ וְיִצְהָרֶךָ: וְנָתַתִּי עֵשֶׂב בְּשָׂדְךָ לִבְהֶמְתֶּךָ וְאָכַלְתָּ וְשָׂבָעְתָּ: הִשָּׁמְרוּ לָכֶם פֶּן יִפְתֶּה לְבַבְכֶם וְסַרְתֶּם וַעֲבַדְתֶּם אֱלֹהִים אֲחֵרִים וְהִשְׁתַּחֲוִיתֶם לָהֶם: וְחָרָה אַף ה' בָּכֶם וְעָצַר אֶת הַשָּׁמַיִם וְלֹא יִהְיֶה מָטָר וְהָאֲדָמָה לֹא תִתֵּן אֶת יְבוּלָהּ וַאֲבַדְתֶּם מְהֵרָה מֵעַל הָאָרֶץ הַטֹּבָה אֲשֶׁר ה' נֹתֵן לָכֶם: וְשַׂמְתֶּם אֶת דְּבָרַי אֵלֶּה עַל לְבַבְכֶם וְעַל נַפְשְׁכֶם וּקְשַׁרְתֶּם אֹתָם לְאוֹת עַל יֶדְכֶם וְהָיוּ לְטוֹטָפֹת בֵּין עֵינֵיכֶם: וְלִמַּדְתֶּם אֹתָם אֶת בְּנֵיכֶם לְדַבֵּר בָּם בְּשִׁבְתְּךָ בְּבֵיתֶךָ וּבְלֶכְתְּךָ בַדֶּרֶךְ וּבְשָׁכְבְּךָ וּבְקוּמֶךָ: וּכְתַבְתָּם עַל מְזוּזוֹת בֵּיתֶךָ וּבִשְׁעָרֶיךָ: לְמַעַן יִרְבּוּ יְמֵיכֶם וִימֵי בְנֵיכֶם עַל הָאֲדָמָה אֲשֶׁר נִשְׁבַּע ה' לַאֲבֹתֵיכֶם לָתֵת לָהֶם כִּימֵי הַשָּׁמַיִם עַל הָאָרֶץ:""]",Deuteronomy 11:13-21,
"ברכות יג ע""א–ע""ב:","['תנו רבנן: והיו - שלא יקרא למפרע. הדברים על לבבך, יכול תהא כל הפרשה צריכה כוונה, תלמוד לומר: האלה - עד כאן צריכה כוונה, מכאן ואילך אין צריכה כוונה, דברי רבי אליעזר, אמר ליה רבי עקיבא: הרי הוא אומר אשר אנכי מצוך היום על לבבך - מכאן אתה למד שכל הפרשה כולה צריכה כוונה. אמר רבה בר בר חנה אמר רבי יוחנן: הלכה כרבי עקיבא. איכא דמתני לה אהא, דתניא: הקורא את שמע צריך שיכוין את לבו; רבי אחא משום רבי יהודה אומר: כיון שכוון לבו בפרק ראשון - שוב אינו צריך. אמר רבה בר בר חנה אמר רבי יוחנן: הלכה כרבי אחא שאמר משום רבי יהודה.', 'תניא אידך: והיו - שלא יקרא למפרע, על לבבך - רב זוטרא אומר: עד כאן - מצות כוונה, מכאן ואילך - מצות קריאה; רבי יאשיה אומר: עד כאן - מצות קריאה, מכאן ואילך - מצות כוונה. מאי שנא מכאן ואילך מצות קריאה - דכתיב לדבר בם, הכא נמי הא כתיב ודברת בם! הכי קאמר: עד כאן - מצות כוונה וקריאה, מכאן ואילך - קריאה בלא כוונה. ומאי שנא עד כאן מצות כוונה וקריאה - דכתיב על לבבך, ודברת בם, התם נמי הא כתיב על לבבכם, לדבר בם! ההוא מבעי ליה לכדרבי יצחק, דאמר: ושמתם את דברי אלה - צריכה שתהא שימה כנגד הלב. אמר מר, רבי יאשיה אומר: עד כאן - מצות קריאה, מכאן ואילך - מצות כוונה. מאי שנא מכאן ואילך מצות כוונה - משום דכתיב על לבבכם - הכא נמי הא כתיב על לבבך! הכי קאמר: עד כאן - מצות קריאה וכוונה, מכאן ואילך - כוונה בלא קריאה. ומאי שנא עד כאן מצות קריאה וכוונה - דכתיב על לבבך ודברת בם - התם נמי הא כתיב על לבבכם לדבר בם! ההוא בדברי תורה כתיב, והכי קאמר רחמנא: אגמירו בנייכו תורה כי היכי דליגרסו בהו.']",Berakhot 13,
"ברכות כא ע""א:","['אמר רב יהודה ספק קרא קריאת שמע ספק לא קרא - אינו חוזר וקורא, ספק אמר אמת ויציב, ספק לא אמר - חוזר ואומר אמת ויציב. מאי טעמא? קריאת שמע דרבנן, אמת ויציב דאורייתא. מתיב רב יוסף: ובשכבך ובקומך? אמר ליה אביי: ההוא בדברי תורה כתיב.']",Berakhot 21a,
"סוטה לב ע""ב:","['קרית שמע. מנלן? דכתיב: שמע ישראל, בכל לשון שאתה שומע. תנו רבנן: קרית שמע ככתבה, דברי רבי, וחכמים אומרים: בכל לשון. מאי טעמא דרבי? אמר קרא: והיו, בהווייתן יהו. ורבנן? אמר קרא: שמע, בכל לשון שאתה שומע. ורבנן נמי הא כתיב והיו! ההוא, שלא יקראנה למפרע. ורבי, שלא יקראנה למפרע מנליה? נפקא ליה מדברים הדברים. ורבנן? דברים הדברים לא משמע להו. ורבי נמי הכתיב שמע! ההוא מיבעי ליה: להשמיע לאזניך מה שאתה מוציא מפיך. ורבנן? סברי לה כמאן דאמר: הקורא את שמע ולא השמיע לאזנו - יצא.']",Sotah 32b,
"תוספות ברכות יג ע""א ד""ה 'עד כאן':","[""עד כאן מצות כוונה – עד בכל מאדך, ששני פסוקים אלו מדברים ביחוד ה' באהבתו וביראתו.""]",Tosafot on Berakhot 13a:36:1,
"שיטה מקובצת ברכות כא ע""א ד""ה 'ההוא בדברי':","['ההוא בדברי תורה כתיב. פירוש, שלא אמרה תורה מקריאת שמע דוקא, אלא שיקרא בתורה בכל מקום שירצה. ומה שאנו קורין זו הפרשה דוקא אינו אלא מדרבנן. ומאי דמוכחי כולהו תנאי לעיל מהאי קרא חיוב קריאת שמע, קסבר שמואל דאסמכתא בעלמא הוא.']",Shita Mekubetzet on Berakhot 21a:8:1,
"ברכות יג ע""א, במשנה (פ""ב מ""ב):","['אמר רבי יהושע בן קרחה: למה קדמה פרשת שמע לוהיה אם שמוע - כדי שיקבל עליו עול מלכות שמים תחלה, ואחר כך מקבל עליו עול מצות; והיה אם שמוע לויאמר - שוהיה אם שמוע נוהג בין ביום ובין בלילה, ויאמר אינו נוהג אלא ביום בלבד.']",Berakhot 13a,
"שם יד ע""ב:","[""אמר רבי יהושע בן קרחה, למה קדמה פרשת שמע וכו'. תניא, רבי שמעון בן יוחי אומר: בדין הוא שיקדים שמע לוהיה אם שמוע - שזה ללמוד וזה ללמד; והיה אם שמוע לויאמר - שזה ללמוד וזה לעשות. אטו שמע, ללמוד אית ביה, ללמד ולעשות לית ביה? והא כתיב: ושננתם, וקשרתם, וכתבתם! ותו, והיה אם שמוע, ללמד הוא דאית ביה, ולעשות לית ביה? והא כתיב: וקשרתם, וכתבתם! אלא הכי קאמר: בדין הוא שתקדם שמע לוהיה אם שמוע - שזה ללמוד וללמד ולעשות, והיה אם שמוע לויאמר - שזה יש בה ללמד ולעשות, ויאמר - אין בה אלא לעשות בלבד. ותיפוק ליה מדרבי יהושע בן קרחה! חדא ועוד קאמר; חדא - כדי שיקבל עליו עול מלכות שמים תחלה ואחר כך יקבל עליו עול מצות, ועוד - משום דאית בה הני מילי אחרנייתא.""]",,
ספר החינוך מצווה תכ (מצוות קריאת שמע שחרית וערבית):,"['מדיני המצוה מה שאמרו זכרונם לברכה שחיוב פסוק ראשון מן הפרשה הוא מן התורה כמו שאמרנו, אבל חכמים חייבונו לקרות שלש פרשיות, שהן שמע, והיה אם שמוע, ויאמר. ומקדימין לקרות פרשת שמע שיש בה ציווי על יחוד השם יתברך ואהבתו ותלמוד תורתו שהוא העיקר הגדול שהכל תלוי בו, ואחריה והיה אם שמוע שיש בה ציווי על שאר המצוות כולן, ואחריה פרשת ציצית שגם היא יש בה ציווי על זכירת כל המצוות. ואם כן באמת בהיות האדם זוכר אלה בכל יום פעם אחת, ובכל לילה פעם אחרת בכוונה, ינצל מן העבירה על כל פנים אם יש דעת בו.']",,Sefer HaChinukh 420
